,var_u,var_e,C_v_u,C_v_e,E,U,T
0,142.36840048081936,142.60308896423436,716.4471007694067,717.6281345027265,-69.97857704396472,-93.64613031414876,9.999966815627499
0,2.5752442819217105,15.77860966055029,0.5187068957084159,3.1781348639715867,75.42376113509191,-42.87680691167057,49.98411714828139
0,3.3720213104966477,21.452477354646824,0.47157188872911365,3.0000952937510803,102.19905019024777,-39.77527925419673,59.986707029176564
0,4.333019920233741,27.95564105824639,0.44501273391613255,2.8711191004718977,128.98423980415637,-36.68723887090336,69.99917868225441
0,7.26632142463113,55.49573829750219,0.3658138014334453,2.7938630571927234,207.85433015587506,-28.773534329336478,99.97952749160659
0,26.87090310507232,215.378484236653,0.3377830765026816,2.707434384823783,469.4558479176661,-4.088669751548643,200.08107344124713
0,59.03655974568465,478.2488572978835,0.3298377136356355,2.671980046254639,729.7699050000012,19.458169447610693,300.1194804436458
0,104.09416741612348,865.2941361447862,0.32740671124105053,2.7216040476005436,988.1161424660277,41.425609104316564,399.99377260991105
0,149.65288106123126,1350.4342969907584,0.3009694599963271,2.7158814333786956,1248.1924144684258,64.27897179256603,500.22471709032817
0,215.93797422396477,1917.240856955369,0.3020313013660006,2.6816346367022255,1504.4138165067943,84.77730895123905,599.8219511310947
0,275.3239466045894,2623.343191849116,0.2828440552241824,2.6949963335117535,1761.467614788167,104.98420586930452,699.8940254876111
0,342.29119287672154,3358.906652276493,0.2690217950047348,2.6399133709940674,2020.4181896882487,126.58050510071931,800.1804751278993
0,469.8048944797705,4120.669320767178,0.2920455117802932,2.5615377677011884,2274.9929737410075,145.52003650999214,899.7406062310152
0,602.7126379112559,5256.179904650242,0.30318261820336584,2.644016874712388,2533.1118918864954,165.875522927658,1000.1999308792994
0,712.3998164833154,6340.806670655302,0.29661652033989294,2.640073687949646,2788.510858073544,186.5374353916865,1099.3805576738616
0,832.6323704376834,7438.761819998858,0.29095394299665217,2.5993909910131285,3044.880213189443,204.6525920983214,1200.0472407274165
0,921.9839342592943,8731.505259782303,0.27468364848882504,2.6013487138289486,3298.8497849320556,222.867016926459,1299.658028137488
0,1101.9491572562952,10192.774265366612,0.28314941120646575,2.6190664177146954,3555.3916804556425,243.22966438449268,1399.4480065947253
